名次,用户名,分数,时间
1,user,4150,16-04-2022 08:13:28
2,user,4110,17-04-2022 16:00:26
3,000,1780,30-04-2022 21:04:51
4,1,1260,30-04-2022 08:02:18
5,666,900,27-04-2022 10:58:40
6,000,620,28-04-2022 08:13:42
7,9999,560,28-04-2022 08:19:24
8,user,250,13-04-2022 19:45:56
9,888,230,28-04-2022 08:12:33
10,user,130,13-04-2022 19:36:47
11,user,100,16-04-2022 09:59:33
12,user,90,16-04-2022 09:48:48
13,user,90,26-04-2022 17:45:28
14,user,80,15-04-2022 23:00:33
15,user,50,26-04-2022 19:52:44
16,user,30,16-04-2022 09:37:24
17,user,30,16-04-2022 10:02:09
18,user,20,13-04-2022 19:35:55
19,user,20,16-04-2022 09:47:34
20,user,10,16-04-2022 09:26:27
21,user,10,26-04-2022 19:53:34
22,user,0,13-04-2022 19:46:16
23,user,0,16-04-2022 09:36:27
24,user,0,26-04-2022 19:49:18
25,user,0,26-04-2022 19:49:54
26,user,0,26-04-2022 21:02:35
